responsible	adj. 有责任的,负责的,责任重大的,应负责的
secret	adj. 秘密的,机密的 adv. 秘密地 n. 秘密
secretary	n. 秘书,部长,大臣,书记
essential	adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
army	n. 军队,陆军,大群
collection	n. 收藏品,收集物,小组,集合
arrival	n. 到达,达到,到达者
arrive	vi. 到达,成功
load	n. 负荷, 重担, 装载量 v. 装载, 装填, 担负, 给(枪)装子弹 [计算机] 装入
proper	adj. 适当的,正确的,合适的,正当的,规矩的
loan	n. 贷款, 借出, 债权人 v. 借, 供应货款, 借给
upon	prep. 在...上
fun	n. 乐趣,玩笑,有趣的人或事物 vi. 开玩笑 adj. 充满乐趣的,令人愉悦的
concept	n. 概念, 观念
protection	n. 保护,防卫
protest	n. 抗议, 反对, 抗议书 vi. 反对,抗议,断言 vt. 坚持地表示, 对...提出异议
proud	adj. 骄傲的, 自豪的, 壮观的
economy	n.节约； 经济； 理财； 秩序
surface	n. 表面,平面, 外表 adj. 表面的,肤浅的 vt. 在某物上加表层, 使...成平面 vi. 浮到水面, 披露出来, 在表面工作
gas	n. 煤气,气体,汽油,空话,能量 vt. 使吸入毒气,死,给...加汽油 vi. 空谈,加汽油
poll	n. 投票,民意测验,民意,票数 vt. 做民意测验,获得...票,剪树枝 vi. 投票
connection	n. 联系,关系,连接,亲戚
boss	n. 老板, 上司 v. 指挥, 控制
surround	n. 环绕物 vt. 包围,环绕
generally	adv. 一般地
generate	vt. 产生,发生,引起 [计算机] 产生
interview	n. 面谈,访问,接见 vt. 接见,对...进行面谈(试) vi. 面试, 采访
conservative	adj. 保守的,守旧的 n. 保守派(党),保守的人
undertake	vt. 从事,保证
box	n. 盒子,箱,专席,亭子,窘境 vt. 装...入盒中,限制住,调和,改变形状,用拳击... vi.参与拳击
vast	adj. 广阔的,巨大的 n. 浩瀚的太空
electricity	n. 电力；电流；强烈的紧张情绪
loss	n. 丧失, 损耗, 亏损
sweet	adj. 甜(蜜)的,新鲜的,可爱的,悦耳的 n. 糖,甜(点),令人高兴的东西 adv. 甜蜜地
achievement	n. 成就, 成绩, 完成, 达到
swim	游泳
swing	n. 摇摆,改变,冲力 vt. &vi. 摇摆,旋转,动摇
hot	adj. 热的,热情的,辣的,性感的 adv. 激动地,快速地 n. 最高温度,滚烫的东西
arm	n. 手臂, 港湾, 狭长地带, 扶手, 袖子, 枪 vt. 装备, 准备(炸弹) vi. 武装自己
bar	n. 条,棒,横木,酒吧 vt. 禁止,阻挠
emphasis	n. 强调,重点
contribute	vt. 捐助,投稿 vi. 投稿,贡献,是原因之一
village	n. 村庄
bridge	n. 桥,鼻梁,桥牌 vt. 渡过,架桥
bright	adj. 明亮的,阳光的,生动的,聪明的 adv. 亮 n. 亮色
mail	n. 邮件,邮政 vt. 邮寄
owe	v. 欠 vi. 欠钱 vt. 欠(债等),归功于,应感谢
sharp	adj. 刺耳的,锋利的,急剧的 adv. [时刻]正,准 夏普(财富500强公司之一，总部所在地日本,主要经营电子电气)
afterward	adv. 后来, 以后
quote	n. 引用 v. 引述, 举证, 报价
aid	n. 帮助,救护,辅助物 vt. &vi. 援助,帮助,救护 abbr.=Agency for International Development 国际开发署[美]
material	n. 材料, 原料, 物质; n. 素材, 题材, 资料 adj. 物质的, 实体的; 身体上的, 肉体的 adj. 重要的, 关键的
distinguish	vt. 区别,辨认,特别关注 vi. 区别
organize	vi. 组织起来 vt. 组织
art	adj. 美术(品)的,艺术(品)的 n. 艺术, 技术, 阴谋, 美术
contact	v. (与)联系, (与)接触 n. 接触, 联系; 联系人
glass	n. 玻璃, 玻璃器皿, 窗户, (复)眼镜,透镜 vt. 用玻璃把…盖（或罩、围）住,给...装上玻璃, 使成玻璃状, 反映, 反射, 审视 vi. 成为玻璃状, 用光学仪器眺望
soft	adj. 柔软的,温和的,不强烈的,细腻的,轻的 adv. 柔软地,温和地 n. 柔软的东西
ought	conj. 应该, 大概
suit	n. 套装, 诉讼, 请求 v. 适合, 取悦, 满足
equipment	n. 设备,装备
suitable	adj. 合适的, 适宜的
sick	adj. 恶心的, 有病的, 腻烦的, 晕的 n. 病人, 呕吐物 vt.追逐, 攻击; 唆使
initial	n. (词)首字母 adj. 开始的, 最初的, 字首的 vt. 签姓名的首字母于
reader	n. 读者，读物, 读本
critic	n. 批评家, 评论家
ready	adj. 准备好的,乐意的,情愿的，现成的 vt. 做好…的准备
disease	n. 疾病,弊端
significant	adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的 n. (复)有意义的事物; 标志
fund	n.基金； 储备； 现款； 特别基金管理机构 vt.积存； 为…提供资金； 提供资金偿付（债款等）的本息； 把（短期借款）转为有固定利息的长期借款
similar	adj. 相似的,类似的,相同,一样
simple	adj. 简单的,无辜的,天真的,基本的,纯粹的 n. 平民,精神病人,草药
everyone	pron. 每人, 人人
goal	n. 目标，目的； 球门； 终点；
pace	n. 速度,步调,步法 vt. 踱步,调整节奏 vi. 缓慢地走
television	n. 电视
match	n. 比赛, 火柴, 对手, 般配的人, 配偶 v. 使...相配, 与...竞争, 相配
western	n. 西方人, 西部片, 西部小说 adj. 西方的, 西洋的, 西部的
choice	adj. 上等的,精选的 n. 选择,挑选
apartment	n. 一套公寓房间
whatever	pron.&amp;conj. 无论什么 adj. 不管怎样的 det. 不管什么,无论何事
intend	v. 打算 vt. 想要,打算,计划
reference	n. 参考, 出处, 参照 n. 推荐人, 推荐函 vt. 提供参考
measure	n. 措施, 办法, 量度, 尺寸 v. 测量, 量
approach	n. 接近; 途径, 方法 v. 靠近, 接近, 动手处理
territory	n. 领土, 版图, 领域, 范围
grant	vt.承认； 同意； 准许； 授予 n.拨款； 补助金； 授给物（如财产、授地、专有权、补助、拨款等） vi.同意
regard	vt.认为； 注视； 涉及； 尊敬 vi.凝视； 留意 n.凝视； 留意； 尊敬； 问候
interpretation	n. 解释,演出,翻译,互動
gap	n. (意见、个性等的)差异,缝隙,漏洞,缺口 vt. 制造缺口 嘉普(财富500强公司之一，总部所在地美国,主要经营服装零售)
expand	vt. 增加,详述,扩展,使...膨胀 vi. 扩展,增加,详述
medium	n. 媒体, 方法, 媒介 adj. 适中的, 中等的
wife	n. 妻子,夫人
camera	n. 摄像机,照相机
relative	adj. 相对的,比较的,涉及到的 n. 亲属,同类事物,相关物
chemical	adj. 化学的 n. 化学制品
relevant	adj. 相关的, 切题的, 中肯的
invite	vt. 邀请,要求 n. 邀请
expose	vt. 暴露,揭穿,使遭受（危险或不快）
island	n.岛，岛屿 vt.使孤立
wire	n. 电线,铁丝网,电报 vt. 给…装电线,用电报发,用导线连接 vi. 发电报
extend	v. 扩充, 延伸, 伸展, 扩展
smile	n. 微笑,喜色 vt. 微笑,微笑地表示, 以微笑完成 vi. 微笑, 赞许, 一笑而过
itself	pron. 它自己, 它本身
guide	vt.引路； 指导； 操纵； 影响 n.指导者； 向导； 导游； 有指导意义的事物
depression	n. 沮丧,萧条
withdraw	vt. 撤回,取回,撤退 vi. 退回,撤退
facility	n.设备； 容易； 能力； 灵巧
decrease	n. 减少(量),降低 vt.& vi. 减少,降低
basically	adv. 基本上, 主要地
text	n. 本文, 文件, 正文, 课文 vt. &vi. 发短信
defend	vt. &vi. 防护,辩护,防卫
payment	n. 支付, 付款
wonderful	adj. 极好的, 精彩的
representative	adj. 代表性的, 代议制的, 典型的 n. 代表, 众议员, 典型
diet	n. 日常饮食，规定饮食 vt. 照规定饮食 adj. 低卡路里的
throw	n. 投,掷,抛, 头巾, 行程 vt. 丢,掷,抛,猛动,抬起,挥动 vi. 投以
mission	n. 任务,代表团,使命,传教 vt. 传教 [计算机] 使命
demonstrate	vt. 示范, 演示, 证明 vi. 示威
pension	n. 退休金,年金,抚恤金 v. 发给退休金
department	n. 部,部门,系
ticket	n. 票,券,标签 vt. 加标签于,售票
perfectly	adv. 完全地, 无瑕疵地, 完整地，完美地，圆满地
original	adj. 最初的, 原始的; 有独创性的, 原版的 n. 原件, 原稿; 有独创性的人, 怪人
investigation	n. 调查
restaurant	n. 餐馆,饭店
address	n. n.地址； 通信处； 演说； 称呼
photograph	n. 相片 vi. 照相,摄影 vt. 给...照相
device	n. 装置, 设计, 策略, 设备
mostly	adv. 大概, 大部份, 主要
yesterday	n.&amp;adv. 昨天
agenda	n. 议事日程
mouse	n. 老鼠,鼠标，胆小如鼠的人，乌青色的肿块 vi. 捕鼠，蹑手蹑脚行动 vt. 仔细寻找
soul	n. 灵魂, 精神, 美国黑人(或黑人音乐) adj. 美国黑人文化特性的
tone	n. 音调,语气,品质,调子,色调 vt. 使更健壮,装腔作势地说, 定调, 调色 vi. 调和(颜色), 呈现悦目色调
laughter	n. 笑, 笑声
zone	n. 地域,地带,地区 vt. 划分成带, 标出或指定成区, 用腰带围绕 adj. 地区性的, 地域上的
mechanism	n. 机制,原理，机械,机构,结构
touch	n. 触觉,接触,少许, 痕迹, 修饰 vt. 触摸,吃,喝,触及,感动 vi. 接触, 联系
fifty	num. 五十
dinner	n. 主餐, 晚餐, 晚宴
plane	n.水平； 平面； 飞机； 木工刨 adj.平的，平坦的 vt.用刨刨平； 小船等擦着水面疾驶 vi.鸟滑翔
uniform	adj. 一致的,统一的 n. 制服 vt. 穿制服
enhance	vt. 提高,加强,增加
plate	n. 碟,盘,金属板,板块 vt. 镀金,电镀,为...制印版,, 给...装钢板,用金属板固定
traditional	adj. 传统的
spring	n. 春天, 弹簧, 弹跳, 泉水, 投射 vt. 弹起, 使喷涌, 越过, 弹出, 释放, 发生, 跳, 裂开 vi. 射出, 涌入(出), 发芽, 长高
relation	n. 关系,家人,亲戚,叙述,陈述
roll	vt.辗； 使（眼球等）左右转动； （使）原地转圈； 滚动 vi.左右摇晃； 翻滚； 开始移动，启动 n.名册； 滚翻
hero	n. 男主角, 男主人公, 英雄
natural	adj.自然的； 物质的； 天生的； 不做作的 n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键
basic	adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练
fire	n. 火,火灾,射击 v. 点燃,解职,开枪
participate	vi.参加某事； 分享某事 vt.得到或接受某部分东西
plus	prep.（表示运算）加； （表示包容）外加； [口语]和； （表示数目）在零（度）以上 n.加号； [数学]正量； 好处； 附加物 adj.加的； 正的； 附加的； 比所示数量多的
resolution	n.决心； 解决； 坚决； 分辨率
claim	n. 要求,要求权;主张,断言,声称;要求物 vt. 要求,请求；主张,声称,断言
round	n. 圆,(某种圆形)交谊舞,常规活动,一局(轮) adj. 圆的,微胖的,完整的,坦率的,圆满完成的 adv. 环形地 vt. 弄圆,绕行,使...完全,使成为整数 vi. 变圆(胖),弯曲 prp. 围绕,遍及
dispute	n. 争论; 争吵 vi. 争论, 争执 vt. 争论; 质疑; 争夺; 抵抗
distribution	n. 分发, 分配, 散布, 分布
lawyer	n. 律师
lay	lie的过去式 vt.放置； 铺放； 涂，敷； 产卵 adj.世俗的； 外行的； 没有经验的 n.叙事诗； 性伙伴
distribute	vt. &vi. 分配,散布
trial	n.试验； [法]审讯，审判； 磨难，困难； [体]选拔赛 adj.试验的； [法]审讯的
moreover	adv.再者； 此外； 而且； 同时
trip	n. 旅行,摔倒,差错,轻快的步伐 vt. 使跌倒,使犯错,使失败,起锚,竖帆 vi. 轻快地走,绊倒,失误,结巴,旅行
poor	adj.贫穷的，贫乏的； 令人怜悯的，可怜的； 匮乏的； 低劣的 n.the poor 贫困者，穷人
floor	n. 地板,楼层,底部,地面,议员,底线 vt. 铺地板,击倒,油门踩到底
news	n. 新闻, 消息
flower	n. 花,华丽,盛年,精英,自然发展的结果 vi. 成熟,开花 vt. 使开花,用花装饰
abroad	adj. 在国外,海外(一般作表语) adv. 到国外, 广为流传
steady	adj. 稳定的,稳固的,沉稳的 adv. 平稳地,稳固地 n. 固定的事物 vi. &vt. (使)稳固,(使)稳定
presentation	n. 陈述, 介绍, 赠与 n. [美]讲课, 报告
scientific	adj. 科学的
club	n. 击棍,扑克牌中的梅花,俱乐部 vt. 用棍棒打,集合 vi. 集合,分担花费,泡夜总会
act	n. 行为,行动,法案,（戏剧、歌剧等的）一幕 vt. 表演,扮演 vi. 表演,行动,表现,充当,奏效
active	adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
stick	vt.& vi.粘贴； 张贴； 插入； 刺入 vt.容忍； 产生作用； （尤指迅速或随手）放置； 阻延或推迟 n.棍棒，棍枝； 枝条； 操纵杆； 球棍
actual	adj. 实际的,真实的
isolate	adj. 孤立的 v. 隔离,孤立 vt. 使隔离,使孤立
safe	adj. 安全的 n. 保险箱
specifically	adv. 特定地,明确地
lesson	n. 课，教训 vt. 给...上课,教训
husband	n. 丈夫 vt. 节俭
statement	n. 声明, 陈述
twelve	adj. 十二,12,12
dear	adj. 严重的,珍贵的,亲爱的,昂贵的,衷心的 adv. 高价地,热爱地 n. 亲爱的人,可爱的人 int. 啊,哎呀
twenty	adj. 二十,20,20
afraid	adj. 害怕的, 担心的
commitment	n. 委托,实行,承诺,保证(律）拘禁令，奉献，献身
satisfy	vt. 使...满意, 使...信服 vi. 足够, 取悦
straight	adj. 直的, 准的, 正直的, 坦率的, 连续的 adv. 直接, 笔直地, 平正了, 坦率的, 连续不断地 n. 直的东西, 传统的人
forest	n. 森林,园林,林火 vt. 用树林覆盖, 植树
educational	adj. 教育的，有教育意义的
unable	adj. 不能的,不会的 v. 不能,不会
style	n. 风格,时尚,字体 vt. 称呼,设计
alive	adj. 活着的,有活力
online	n.联机, 在线
communication	n. 沟通,交通,沟通
labor	n. 工作, 劳动, 劳力, 劳方 vt. 苦干, 劳动, 分娩, 阵痛, 致力于 vi. 过分详尽阐述 adj. 劳工的, 劳动的
immediately	adv. 立即,直接地 conj. 一...(就)
amount	n. 数量, 总额 vi. 总计, 等于
besides	prep. 除...之外 adj. 别的 adv. 也,此外
participant	adj. 参与的 n. 参加者,参与者
ancient	adj. 古代的,古老的 n. 古人, 古货币
anger	n. 怒，愤怒；忿怒 vt. 使发怒，激怒；恼火 vi. 发怒；恼火
link	n. 环节,联系, (链的)环, 圈 vt. &vi. 连接,联系
favorite	adj. 流行的，喜爱的 n. 最喜爱的人或物, 被认为最有可能胜出的竞争者
improvement	n. 改进, 改善
bill	n.账单； 钞票； 清单； 广告 vt.安排； 给…开账单； 为…发提（货）单； 把…登录在账 vi.鸟嘴相接触
list	n.清单，目录； 倾斜； 布边，布头； 狭条 vt.列出，列入； 把…编列成表； 记入名单内 vi.列于表上
university	n. 大学
professor	n. 宣称者,教授
profit	n. 利润, 盈利比率，利益 vi. 利用，获利 vt. 有益于
output	n. 产量,输出,输出功率,输出端 vt. 输出(信息等)
section	n. 零件,部分,章节,区域,部门,路段,断面 vt. 划分,切开 vi. 划分
component	n. 元件, 组件, 成份 adj. 组成的, 构成的
premise	vt. 引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基 vi. 作出前提
dynamic	adj. 动态的, (有)动力的, (有)力的; 有活力的 n. 动力; 力学
global	adj. 全球性的, 全局的
suggestion	n. 建议, 意见, 迹象, 暗示, 联想
gene	n. 基因
concentrate	vt.& vi.专心于； 注意； 集中； 聚集 vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 vi.凝缩，浓缩，提纯 n.浓缩物 adj.集中起来的，经过浓缩的
propose	v. 计划, 打算, 向...提议; 求婚
officer	n. 官员,军官 vt. 提供官员,指挥
okay	n.认可，同意 v.赞成或同意； 批准 int.行，用以表达准许或同意之意 adj.可以，不错
attention	n. 注意(力),关心,立正
prove	v. 证明, 查验, 显示
prior	adj. 更重要的, 较早的, 在先的 adv. 居先 n. 小修道院院长; 大修道院副院长
bond	n. 债券；结合；约定；粘合剂 vi. 结合，团结在一起 vt. 使结合；以…作保
editor	n. 编辑, 编者
perception	n. 感知, 认识, 观念
effective	adj. 有效的,有影响的
qualify	vt. 取得资格,有资格,限定,描述 vi. 取得资格, 有资格
serve	v. 可作...用, 服务, 对待, 发球 n. 发球
boy	n. 男孩,儿子
purpose	n. 目的, 意图; 意志, 决心; 议题 vt. 打算, 决意
consistent	adj. 始终如一的, 一致的, 坚持的
acquire	vt. 占有,获得,取得,学到
lovely	adj. 可爱的,令人愉快的 n. 漂亮的女人,美好的东西
switch	n. 开关, 电门，闸，转换器, vt. &vi. 鞭打，转轨，交换，突然转变, 摆动，接通或切断…电流
settle	n. 有背的长凳 vt. 安放,安顿,解决,决定,付清(欠款) vi. 定居,降落
emerge	vi. 浮现, (由某种状态)脱出, (事实)显现出来
luck	n. 运气,幸运,吉祥之物 v. 侥幸成功
victim	n. 受害者,牺牲
emotional	adj. 感情的, 情绪的
emphasize	v. 强调,着重 vt. 强调
breathe	vi. 呼吸 vt. 轻声说,流露感情,注入
employer	n. 雇主
onto	prep. 到...上
empty	adj. 空的,空虚的,空腹的 n. 空物 vt. 使...空 vi. 变空,流入
operation	n. 手术, 行动，活动, 操作
pub	n. 酒吧, 酒馆
debate	n. 辩论,讨论 vt. 争论,思考 vi. 商讨,辩论
disappear	vi. 消失,灭绝 vt. 引起消失
dramatic	adj. 戏剧性的,引人注目的,给人深刻印象的
chief	adj. 主要的, 首席的 n. 首领
rank	n. 队列,排名,等级,军衔,阶级 adj. 繁茂的,恶臭的,讨厌的 vt. 排列,归类于
talent	n. 才能, 人才, 天资
crash	v. 撞碎, 猛使...破碎, 迫降，发出巨响 n. 轰隆声, 猛撞, 崩溃, 破产, 垮台 adj. 速成的 n. 粗布
error	n. 错误, 过失
male	adj. 男性的,雄性的 n. 男子,雄性动物
manage	vt. 管理,处理,维持,达成,经营 vi. 管理,达成
credit	n. 信用, 荣誉, 贷款, 学分 v. 归功于, 赞颂, 信任
tape	n. 录像带, 录音带, 磁带, 胶带 vt. 用带子捆起, 给...录音 vi. 录音
task	n. 工作,任务 vt. 交给某人（任务)
location	n. 地点,位置
taxi	n. 计程车，出租汽车 v. 用出租车运送，乘计程车，（飞机）滑行
hang	vt.悬挂； （被）绞死； 贴，装饰； 使悬而未决 vi.悬垂； 被吊死； 附属，依靠； 悬而未决 n.悬挂的样子； （动作的）暂停； 〈口〉大意，要点； 〈口〉做法，诀窍
eventually	adv. 终于, 最后
crop	n. 庄稼,收成, 一群,平头 vt. 割掉, 修剪, 剪短, 收割, 使谷物生长 vi. 啃青草, 种植谷物
reasonable	adj. 合理的,有道理的,适度,通情达理的 adv. 合理地
advertise	vi. 登广告 vt. 为...做广告, 宣传
marriage	n. 婚姻,结婚
release	n. 释放, 让渡, 发行 vt. 释放, 让与, 准予发表, 发射
sing	vt. 唱,鸣唱,用诗赞美,叫,响 vi. 唱歌 n. 合唱
sensitive	adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的 n. 敏感的人
wake	vt. 守灵,叫醒,醒来 vi. 醒,叫醒 n. 清醒,守护神节日,守灵,尾流,后果
cup	n. 杯子 v. (使)成杯形 vt. 使成杯形
recover	vt.恢复； 重新获得； 找回； <正>恢复（适当的状态或位置） vi.恢复健康（体力、能力等） n.恢复开始时姿势
toy	n. 玩具,小玩意儿 adj. 供玩耍的,体型小的 vi. 漫不经心地做,戏弄
repertoire	n. (准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, &lt;美&gt;(某个人的)全部技 能, 清单,指令表
initiative	adj. 创始的, 初步的, 自发的 n. 第一步, 首创精神; 主动权
size	n. 尺寸, 大小 vt. 按大小排列(或分类) adj. 一定大小的 vt. 用...填充(某物)
tension	n. 紧张,张力,拉力 vt. （使金属线、帆等）拉紧
theater	n.剧场； 戏剧界； 戏剧效果； [军]战区
secondly	adj. 第二(点),其次 adv. 第二,其次
store	n. 商店,贮藏,仓库 vt. 储存,贮藏,供给,保存 adj. 储备的 (在计算机里)存贮；记忆
meat	n. 肉,主要或重要部分
danger	n. 危险
daughter	n. 女儿 adj. 与女儿有关的, 女性直系后代的
expert	adj. 熟练的,内行的 n. 专家,能手 vi. 当专家
voter	n. 投票人, 选举人
explanation	n. 解释, 说明
theory	n. 理论,原则,看法,推测
explore	vt. &vi. 探险,探测,探究
export	vt. 输出，出口 n. 出口,输出品 vi. 传播,输出 adj. 出口的
religious	adj. 宗教的,虔诚的,细心的 n. 修道院成员, 僧侣
contribution	n. 贡献,捐款(赠)
wish	n. 渴望,愿望,(复数)祝颂,命令 vt. &vi. 想要,希望
guest	n. 客人, 客串演员, 特邀来宾 vt. 款待 vi. 作客
smoke	n. 烟, 无常的事物, 抽烟 v. 吸烟, 以烟熏, 冒烟
snow	n. 雪,似雪花的东西,粉状物,下雪 vi. 下雪 vt. 像雪一般落下,使雪白,欺骗
remove	n. 间距, 移动 vt. 除去,开除, 移动, 取下, 拿走 vi. 迁徙,离开,搬迁
habit	n. 习惯，习性；嗜好 vt. 使穿衣
pause	n. 暂停,中止,犹豫不决 vi. 停顿,中止 vt. 使停顿
repeat	n. 重复,反复 vt. 重复,复述 vi. 重复 adj. 重复的,反复的
stable	adj. 稳定的；牢固的；坚定的 n. 马厩；牛棚 vi. 被关在马厩 vt. 赶入马房
assure	vt. 保险,保证,确信,担保
fair	adj. 公平的, 晴朗的, 美丽的; 相当的 adj. (皮肤, 毛发等）浅色的; 白皙的 n. 展览会, 市集 adv. 公平地; 直接地
journey	n. 旅程, 旅行, 行程 v. 旅行
wood	n.木材； 树林； 木制品 vi.收集木材 vt.在…植树造林； 给…添加木柴 adj.木制的； 失去理智的
badly	adv. 严重地, 恶劣地, 极度地
soil	n. 土地,土壤 v. 弄脏,(使)变脏 vi. 变脏 vt. 弄脏
count	v. 计算, 视为, 依赖 n. 计数
request	n. 要求, 请求 vt. 请求, 要求
jump	n. 跳跃,跳动,上涨 vt. &vi. 跳越,突升,惊跳
worker	n. 工人，工作者
solve	v. 解答(难题),解决 vt. 解答,解决
worry	n. 烦恼,忧虑,苦恼 vt. 使...烦恼,使...焦虑, 叼住某物甩或拉 vi. 感到苦恼,感到焦虑
justify	vt. 替...辩护,证明...正当 n. 对齐 [计算机] 调整
percentage	n. 百分率,比例,可能性
derive	v. 得自, 起源, 引申于
tight	adj. 紧的, 严厉的,密集的,紧身的,拮据的 adv. 紧紧地,牢固地, 迅速地
response	n. 反应, 响应; 回答
hat	n. 帽子,职位 vt. 给...戴帽子 vi. 提供帽子
tire	n. 轮胎.金属圈 vt. 使疲倦, 厌烦 vi. 疲劳
gay	adj. 欢快的, 色彩鲜艳的, 同性恋的 n. 同性恋
access	n.入口，出口； 接近，进入； 增长； 爆发 vt.接近，进入； 使用，接近，获取
seriously	adv. 认真地, 严肃地, 严重地
ignore	vt. 不顾,不理,忽视
necessarily	adv. 必然地,必定地，必需地
chair	n. 椅子,席位,讲座,要职 vt. 上任,使担任（某事务）的主席,主持
phrase	n. 短语,习语,个人风格,乐句 vt. 措词表达,将(乐曲)分成乐句(来演奏)
attach	v. 附上, 系上, 贴上, 使依恋
balance	n. 天平, 平衡, 差额, 平静, 调和, 制衡 vt. 使平衡, 称重量, 权衡, 抵消 vi. 建立平衡, 均衡
federal	adj. 联邦的 n. 同盟盟友
review	n. 检讨, 复习, 回顾, 评审 vt. 温习, 检讨, 评论, 检阅 vi. 写评论
band	n. 带;箍,队,乐队 vt. &vi. 联合,结合
version	n. 版本, 说法，翻译
eliminate	v. 除去,排除,剔除 [计算机] 消除
mouth	n. 嘴,开口，需要供养的人，夸张说话的趋势，（河流等）入口，容器的开口 vt. 装腔作势说话, 送进嘴里，喃喃自语，用唇语说 vi. 傲慢地说，嘟嘴扮鬼脸
specialist	n. 专家
attitude	n. 态度, 看法, 姿势
dog	n. 狗,卑鄙的人 vt. 尾随,跟踪
emotion	n. 情感,情绪,感动
audience	n. 听众, 观众, 读者, 拥护者, 倾听, 正式会见
cope	v. (with)竞争,对抗,对付,妥善处理 vi. 对付,妥善处理
magazine	n. 杂志
tough	adj. 强硬的, 艰苦的, 棘手的, 严厉的 adv. 以强硬的态度 n. 暴徒; 恶棍
quick	adj.快的，急速的； 聪明的，凌厉的； 灵活的； 短时间做成的 adv.迅速地，快速地 n.（指甲下的）活肉； 感情的中枢，感觉最敏锐的地方； 要害，核心
quiet	n. 安静,闲适,平静 adj. 安静的,静止的,宁静的 adv. 安静地 vt. &vi. 使...平静,使...安心
plant	n. 植物，设施，设备，工厂 v. 种植，建立，设立
finally	adv. 最后, 最终
financial	adj. 金融的,财政的
coach	n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱 vt. 训练, 指导 vi. 训练, 指导
radio	n. 收音机,无线电 vt.& vi. 用无线电通讯
estate	n. 财产,房地产,状态,遗产
purchase	n. 购买, 购买的物品 n. 支点; 紧握, 抓紧 vt. 购买, 赢得; (用设备)举起, 移动
citizen	n. 公民, 市民
rain	n. 雨(水), (复数)雨季 vi. 下雨 vt. 使大量落下
recently	adv. 最近
wall	n. 墙壁,垣,绝境 vt. 堵塞, 分割, 用墙围住, 演戏般地转动(眼睛) vi. 演戏般地转动(眼睛)
travel	n.旅行,移动 vi. 旅行,传播,移动 vt. 横贯
hire	vt.聘用； 录用； 雇用； 租用 vi.受雇； 得到工作 n.租金； 酬金，工钱； [非正式用语] 被雇佣的人； 销售部的两个新雇员
ban	n. 禁令 v. 禁止 vt. 禁止,取缔
historical	adj. 与历史有关的
intellectual	n. 有知识者,知识份子,凭理智做事者 adj. 智力的,知性的,聪明的
routine	n. 例行公事, 常规，无聊 adj. 常规的, 例行的，乏味的
oppose	vt. 反对,以...对抗,抗争
alter	v. 改变
alternative	adj. 两者择一的; 供选择的; 非主流的 n. 替换物, 取舍
division	n. 区分,分开,除法,公司,部门，师（军队里）
clock	n. 时钟, 计时器
honest	adj. 诚实的,正直的 adv. 老实说
analysis	n. 分析, 解析
sign	n. 符号, 正负号, 手势, 迹象, 招牌 v. 签, 做手势, 做标记
criticism	n. 批评,评论
creation	n. 创造, 创作
cloud	n. 云,云状的烟，阴影 vt. 使…模糊，以云遮敝,笼罩，使…混淆,毁坏 vi. 脸色显得阴沉
marry	vt. &vi. 结婚,结合
hotel	n. 旅馆，宾馆，酒店，饭店
whereas	conj.&amp;adv. 然而,却,反之
anyway	adv. 不管怎样
sister	n. 姐妹，护士长
sail	n. 帆,乘船航行 vt. 乘船航行,浮游,启航 vi 驾船航行
hence	adv. 今后, 从此, 因此, 所以
hunt	n. 狩猎, 追捕, 搜寻 v. 狩猎, 打猎, 搜索
afford	vt. 提供,负担得起的(后果,损失等),给予
sample	n. 样品,标本 vt. 采样,品尝 adj. 样例的
meanwhile	adv. 同时 n. 其时,其间
sleep	n. 睡眠,静止,睡意 v. 睡觉,睡眠,静止
dance	n. 跳舞, 舞蹈, 舞会, 舞步 vi. 跳舞, 雀跃 vt. 使跳跃, 使某人以跳舞的方式进入
strength	n. 力量,力气,长处,强度
ill	adj. 坏的,有病的,引起痛苦的,敌意的 adv. 恶劣地,勉强的 n. 邪恶,不幸,祸害,坏话
previous	adj. 在...之前, 先, 前, 以前的
ad	abbr. 广告；公元（AD）
investigate	vt. &vi. 调查,研究 [计算机] 研究
relatively	adv. 比较地, 相对地
wine	n. 酒,葡萄酒,紫红色 vt. &vi. 喝酒,请喝酒
enjoy	vt. &vi. 享受,喜欢
express	n. 快车, 快递, 专使 adj. 急速的, 明确的, 直接的 adv. 用快递; 特意地 vt. 表达, 表示; 挤压出; 快递
unfortunately	adv. 不幸地
communicate	vt. 传达, 传播 vi. 交流, 沟通, 联通
external	n. 外部 adj. 外部的,外用的,客观的,表面的
union	n. 联盟,结合,政党,工会,连接轴 adj. 联邦政府的,工会的
signal	n. 信号,导火线,动机 vt. 发信号,标志 vi. 发信号 adj. 显著的
